City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bethel,US,79.11,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
1,Jamestown,US,69.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
4,Mykolayivka,UA,66.63,clear sky,47.5414,30.7561,Готель
7,Mabaruma,GY,73.22,broken clouds,8.2,-59.7833,Monty Brooms Guest House
10,Rikitea,PF,66.69,light rain,-23.1203,-134.9692,People ThankYou
13,Moussoro,TD,83.61,overcast clouds,13.6408,16.4901,Hôtel Salama
15,Singaparna,ID,75.34,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
16,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
17,Ponta Do Sol,PT,71.01,clear sky,32.6667,-17.1,Hotel do Campo
18,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
21,San Policarpo,PH,84.29,overcast clouds,12.1791,125.5072,Agapita M. Nicart
22,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
32,Sile,TR,68.58,clear sky,41.1754,29.6133,Phellos Suites
38,Houma,US,80.01,light rain,29.5958,-90.7195,Courtyard by Marriott Houma
40,Haapiti,PF,80.33,broken clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
43,Saint-Philippe,RE,65.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
49,Salalah,OM,76.84,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
53,Baillif,GP,78.64,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
55,Puerto Ayora,EC,67.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Dingle,PH,84.63,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
59,Nome,US,66.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
60,Shimoda,JP,75.56,light rain,34.6667,138.95,Shimoda Tokyu Hotel
65,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
67,Sao Desiderio,BR,73.92,overcast clouds,-12.3633,-44.9733,Pousada do Luizão
70,Morden,CA,71.46,overcast clouds,49.1919,-98.1014,Morden Motor Inn
72,Esmeraldas,BR,65.26,few clouds,-19.7625,-44.3139,Forasteiro Pousada
76,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
77,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
78,Palaikastron,GR,73.24,clear sky,35.2,26.25,Marina Village
80,Kizilskoye,RU,70.38,overcast clouds,52.7255,58.8937,Motel Region
82,Nova Olinda Do Norte,BR,78.19,broken clouds,-3.8881,-59.0942,Casa Juazeiro
83,Manado,ID,81.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
85,Puerto Del Rosario,ES,71.35,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
87,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
88,Sarangani,PH,82.15,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
91,Meulaboh,ID,79.9,overcast clouds,4.1363,96.1285,Kost Pria
93,Nyaunglebin,MM,80.8,overcast clouds,17.95,96.7333,Thi ha
94,Sinnamary,GF,77.14,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
95,Mubi,NG,72.25,overcast clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
96,Hithadhoo,MV,83.25,broken clouds,-0.6,73.0833,Scoop Guest House
97,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
101,Fukue,JP,80.96,mist,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
102,Ribeira Grande,PT,72.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
103,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
104,Carnarvon,AU,68.32,clear sky,-24.8667,113.6333,Hospitality Carnarvon
105,Arraial Do Cabo,BR,70.99,clear sky,-22.9661,-42.0278,Pousada Porto Praia
106,Guaruja,BR,69.89,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
108,Coos Bay,US,68.99,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
111,Noumea,NC,75.18,few clouds,-22.2763,166.4572,Hôtel Le Lagon
115,Soure,BR,78.04,clear sky,-0.7167,-48.5233,Casarão da Amazônia
116,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
117,Tecoanapa,MX,79.16,overcast clouds,16.5167,-98.75,Hotel Manglares
118,Grand Forks,US,69.53,overcast clouds,47.9417,-97.4337,Warrior Inn
121,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
122,Butaritari,KI,81.93,light rain,3.0707,172.7902,Isles Sunset Lodge
124,Manokwari,ID,83.1,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
125,Soyo,AO,69.15,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
126,Thompson,CA,68.16,overcast clouds,55.7435,-97.8558,Burntwood Hotel
127,Saint-Francois,FR,65.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
129,Bani Walid,LY,69.93,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
130,Seoul,KR,81.79,scattered clouds,37.5683,126.9778,Lotte Hotel Seoul
132,Moose Factory,CA,69.78,clear sky,51.2585,-80.6094,Cree Village Eco Lodge
136,Lorengau,PG,82.4,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
140,Wamba,NG,70.61,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
141,Bandrele,YT,76.75,few clouds,-12.9067,45.1914,Les Baobabs
143,Luxor,EG,78.85,clear sky,25.6989,32.6421,Iberotel Luxor
148,Gandu,BR,66.29,overcast clouds,-13.7439,-39.4867,Pousada Duarte
152,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
158,Bireun,ID,82.72,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
159,Santa Cruz Cabralia,BR,71.83,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
160,Jacareacanga,BR,75.16,clear sky,-6.2222,-57.7528,Casa do Ian😎
163,Akyab,MM,82.89,overcast clouds,20.15,92.9,Hotel Memory
164,Kununurra,AU,71.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
165,Vila Franca Do Campo,PT,72.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
166,Nantucket,US,75.31,fog,41.2835,-70.0995,Jared Coffin House
167,Sioux Lookout,CA,69.87,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
171,Ratnagiri,IN,80.11,overcast clouds,16.9833,73.3,Hotel Landmark
172,Samarai,PG,77.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
174,Ordzhonikidzevskaya,RU,68.34,overcast clouds,43.3211,45.0522,Pvd Sop Uvd Po Mo
175,Imbituba,BR,65.86,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
176,Sidi Ali,DZ,73.89,clear sky,36.0998,0.4206,Complexe touristique haje bezine
180,Vanimo,PG,82.42,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
182,Bismarck,US,82.24,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
183,Denpasar,ID,82.06,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
184,Lompoc,US,79.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
185,Hamilton,US,75.83,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
186,Hasaki,JP,82.29,heavy intensity rain,35.7333,140.8333,Inubosaki Kanko Hotel
189,Atuona,PF,77.54,few clouds,-9.8,-139.0333,Villa Enata
190,Port Hedland,AU,71.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
191,Pochutla,MX,74.61,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
192,Kapuskasing,CA,68.09,few clouds,49.4169,-82.4331,Park Inn Motel
197,Shelburne,CA,65.19,clear sky,44.0787,-80.2041,The Retreat at the Farm
199,Makakilo City,US,84.52,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
200,Naukot,PK,84.47,overcast clouds,24.8587,69.4024,Rolak Sigrat Shop
201,Chegdomyn,RU,81.18,clear sky,51.1167,133.0167,Gostinitsa Bureya
205,Bubaque,GW,80.13,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
207,Umm Lajj,SA,82.54,few clouds,25.0213,37.2685,Moon light Furnished Units
209,Prince Albert,CA,75.15,broken clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
210,Amla,IN,72.54,overcast clouds,21.9333,78.1167,L l ganeshkar
211,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
212,Coro,VE,76.12,clear sky,11.4045,-69.6734,Federal
213,Idlib,SY,70.54,clear sky,35.9306,36.6339,مركز تسيل للتجميل
214,Tura,IN,81.1,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
216,Kalmunai,LK,82.08,broken clouds,7.4167,81.8167,VS Villa
217,Cameta,BR,77.77,heavy intensity rain,-2.2444,-49.4958,Hotel San Juan
