,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,79.11,65,0,4.61,clear sky
1,Jamestown,US,42.097,-79.2353,69.39,55,0,8.05,clear sky
2,Frameries,BE,50.4058,3.896,54.57,94,42,5.75,scattered clouds
3,Hualmay,PE,-11.0964,-77.6139,60.53,82,59,14.16,broken clouds
4,Mykolayivka,UA,47.5414,30.7561,66.63,55,2,6.38,clear sky
5,Tasiilaq,GL,65.6145,-37.6368,46.56,77,100,10.2,overcast clouds
6,Busselton,AU,-33.65,115.3333,62.19,71,51,12.88,broken clouds
7,Mabaruma,GY,8.2,-59.7833,73.22,98,60,2.04,broken clouds
8,New Norfolk,AU,-42.7826,147.0587,49.71,61,100,5.08,overcast clouds
9,Hobart,AU,-42.8794,147.3294,50.05,89,75,5.75,broken clouds
10,Rikitea,PF,-23.1203,-134.9692,66.69,84,100,10.85,light rain
11,Ushuaia,AR,-54.8,-68.3,28.06,80,0,4.61,clear sky
12,Pevek,RU,69.7008,170.3133,32.41,84,19,12.71,few clouds
13,Moussoro,TD,13.6408,16.4901,83.61,58,100,8.37,overcast clouds
14,Hermanus,ZA,-34.4187,19.2345,49.8,82,16,6.87,few clouds
15,Singaparna,ID,-7.3515,108.111,75.34,92,92,2.89,overcast clouds
16,Tiarei,PF,-17.5333,-149.3333,80.62,62,54,24.34,broken clouds
17,Ponta Do Sol,PT,32.6667,-17.1,71.01,81,1,2.59,clear sky
18,Mahebourg,MU,-20.4081,57.7,68.29,83,40,11.5,scattered clouds
19,Jijiga,ET,9.35,42.8,62.26,85,100,14.99,light rain
20,Mataura,NZ,-46.1927,168.8643,38.48,94,100,4.92,overcast clouds
21,San Policarpo,PH,12.1791,125.5072,84.29,74,100,5.75,overcast clouds
22,Alofi,NU,-19.0595,-169.9187,80.49,65,75,17.27,broken clouds
23,Husavik,IS,66.0449,-17.3389,44.98,90,28,1.39,scattered clouds
